word,embedding,score,diff
adventure,-0.075,0.4,0.475
peel,-0.295,-0.1,0.195
song,-0.636,0.6,1.236
elegance,-0.159,0.5,0.659
recreation,-0.351,0.4,0.751
roar,-0.357,-0.3,0.057
trumpet,0.127,0.2,0.073
container,-0.493,0.1,0.593
aroma,-0.11,0.4,0.51
childhood,-0.408,0.5,0.908
measurement,-0.084,0.0,0.084
sanitation,0.073,-0.2,0.273
vibration,-0.255,0.0,0.255
dry,-0.066,-0.2,0.134
growth,0.014,0.5,0.486
safety,-0.05,0.6,0.65
swing,-0.011,0.0,0.011
crave,-0.668,0.1,0.768
ride,0.26,0.1,0.16
sharpness,0.103,-0.1,0.203
stride,-0.017,0.1,0.117
graze,0.097,-0.1,0.197
excitement,-0.738,0.8,1.538
sit,-0.162,0.0,0.162
indulge,-0.352,0.3,0.652
acidity,0.091,-0.5,0.591
prong,-0.33,0.0,0.33
chop,0.003,-0.2,0.203
munch,-0.639,0.1,0.739
person,-0.141,0.0,0.141
bicycle,0.715,0.0,0.715
car,-0.132,0.0,0.132
motorcycle,0.264,0.0,0.264
airplane,-0.077,0.0,0.077
bus,-0.206,0.0,0.206
train,-0.122,0.0,0.122
truck,-0.373,0.0,0.373
boat,0.173,0.0,0.173
traffic light,-0.421,-0.4,0.021
fire hydrant,-0.574,-0.7,0.126
stop sign,-0.373,0.0,0.373
parking meter,-0.369,0.0,0.369
bench,-0.07,0.2,0.27
bird,0.372,0.3,0.072
cat,-0.18,0.2,0.38
dog,0.196,0.2,0.004
horse,-0.06,0.2,0.26
sheep,-0.034,0.1,0.134
cow,0.27,0.0,0.27
elephant,-0.01,0.1,0.11
bear,-0.414,-0.2,0.214
zebra,-0.401,0.1,0.501
giraffe,-0.281,0.2,0.481
backpack,-0.181,0.0,0.181
umbrella,-0.514,0.0,0.514
handbag,-0.014,0.0,0.014
tie,0.136,0.0,0.136
suitcase,-0.132,0.0,0.132
frisbee,-0.116,0.1,0.216
skis,-0.354,0.0,0.354
snowboard,0.187,0.0,0.187
sports ball,-0.113,0.1,0.213
kite,0.178,0.2,0.022
baseball bat,-0.213,0.0,0.213
baseball glove,-0.346,0.0,0.346
skateboard,0.547,0.2,0.347
surfboard,0.395,0.2,0.195
tennis racket,-0.165,0.2,0.365
bottle,0.108,0.0,0.108
wine glass,0.135,-0.1,0.235
cup,-0.28,0.0,0.28
fork,-0.67,0.0,0.67
knife,-0.43,0.0,0.43
spoon,-0.027,0.0,0.027
bowl,-0.49,0.0,0.49
banana,0.25,0.2,0.05
apple,-0.112,0.2,0.312
sandwich,0.196,0.1,0.096
orange,-0.29,0.2,0.49
broccoli,-0.161,0.1,0.261
carrot,-0.112,0.1,0.212
hot dog,0.137,0.1,0.037
pizza,0.076,0.3,0.224
donut,-0.156,0.4,0.556
cake,-0.254,0.5,0.754
chair,-0.784,0.0,0.784
couch,-0.592,0.0,0.592
potted plant,-0.445,-0.2,0.245
bed,-0.29,0.0,0.29
dining table,-0.707,0.2,0.907
toilet,-0.081,-0.8,0.719
tv,0.115,0.1,0.015
laptop,-0.054,0.2,0.254
mouse,-0.128,0.0,0.128
remote,-0.389,-0.1,0.289
keyboard,-0.242,0.1,0.342
cell phone,0.098,0.2,0.102
microwave,-0.246,0.0,0.246
oven,-0.085,0.0,0.085
toaster,0.051,0.0,0.051
sink,-0.128,-0.1,0.028
refrigerator,-0.093,-0.1,0.007
book,-0.033,0.1,0.133
clock,0.17,0.1,0.07
vase,-0.577,0.1,0.677
scissors,-0.127,-0.1,0.027
teddy bear,-0.46,0.2,0.66
hair drier,-0.113,0.1,0.213
toothbrush,0.431,0.2,0.231
#,-0.377,0.0,0.377
$,0.373,0.0,0.373
US$,0.151,0.0,0.151
C$,-0.16,0.0,0.16
'',-0.018,0.0,0.018
",",-0.051,0.0,0.051
Wa,-0.919,0.0,0.919
.,-0.127,0.0,0.127
?,0.179,0.0,0.179
!,-0.275,0.2,0.475
--,-0.309,0.0,0.309
;,-0.142,0.0,0.142
:,-0.159,0.0,0.159
...,-0.047,0.0,0.047
-,-0.277,0.0,0.277
and,-0.552,0.1,0.652
or,0.12,0.0,0.12
But,0.006,-0.1,0.106
but,0.006,-0.1,0.106
million,-0.278,0.1,0.378
billion,-0.467,0.1,0.567
one,-0.479,0.0,0.479
two,-0.141,0.0,0.141
10,-0.136,0.0,0.136
the,-0.505,0.0,0.505
a,-0.659,0.0,0.659
The,-0.505,0.0,0.505
an,-0.631,0.0,0.631
this,-0.255,0.0,0.255
there,-0.395,0.0,0.395
There,-0.395,0.0,0.395
Perestroika,-0.443,0.0,0.443
besuboru,-0.528,0.0,0.528
de,-0.649,0.0,0.649
etc.,-0.257,0.0,0.257
of,-0.655,0.0,0.655
for,-0.297,0.0,0.297
on,-0.215,0.0,0.215
new,-0.047,0.2,0.247
other,-0.805,0.0,0.805
last,-0.262,-0.2,0.062
many,-0.713,0.0,0.713
higher,-0.658,0.2,0.858
lower,-0.671,-0.2,0.471
largest,-0.994,0.0,0.994
least,-0.652,-0.2,0.452
latest,-0.188,0.0,0.188
best,-0.079,1.0,1.079
1,-0.642,0.0,0.642
2,-0.237,0.0,0.237
3,-0.32,0.0,0.32
4,-0.034,0.0,0.034
5,-0.241,0.0,0.241
will,-0.31,0.0,0.31
would,-0.321,0.0,0.321
could,-0.666,0.0,0.666
can,-0.651,0.0,0.651
may,-0.098,0.0,0.098
%,-0.527,0.0,0.527
company,-0.901,0.0,0.901
year,-0.49,0.0,0.49
market,0.241,0.0,0.241
trading,0.367,-0.3,0.667
Mr.,-0.411,0.0,0.411
U.S.,-0.872,0.0,0.872
New,-0.047,0.0,0.047
Corp.,-0.763,0.0,0.763
York,-0.55,0.0,0.55
Containers,-0.39,0.0,0.39
Securities,-0.035,0.0,0.035
Industries,-0.633,0.0,0.633
Materials,-0.673,0.0,0.673
Soviets,-0.439,0.0,0.439
years,-0.767,0.0,0.767
shares,-0.468,0.0,0.468
prices,-0.011,-0.2,0.189
cents,0.103,0.0,0.103
funds,-0.694,0.0,0.694
all,-0.797,0.1,0.897
such,-0.718,0.0,0.718
half,-0.179,0.0,0.179
Such,-0.718,0.0,0.718
All,-0.797,0.0,0.797
',0.094,0.0,0.094
it,-0.591,0.0,0.591
he,-0.653,0.0,0.653
they,-0.415,0.0,0.415
I,-0.679,0.0,0.679
It,-0.591,0.0,0.591
its,-0.515,0.0,0.515
their,-0.522,0.0,0.522
his,-0.608,0.0,0.608
her,-0.449,0.0,0.449
our,-0.804,0.0,0.804
n't,-0.313,-0.5,0.187
also,-0.153,0.0,0.153
not,-0.714,-0.4,0.314
only,-0.484,0.0,0.484
even,-0.381,0.0,0.381
more,-0.187,0.3,0.487
earlier,-0.311,-0.2,0.111
less,-0.189,-0.2,0.011
better,0.196,0.5,0.304
longer,-0.607,0.0,0.607
most,-0.508,0.3,0.808
Most,-0.508,0.3,0.808
up,0.062,0.2,0.138
out,0.008,0.0,0.008
off,-0.125,-0.1,0.025
in,-0.224,0.0,0.224
down,-0.121,-0.1,0.021
&,-0.842,0.0,0.842
to,-0.015,0.0,0.015
To,-0.015,0.0,0.015
TO,-0.015,0.0,0.015
OK,-0.208,0.5,0.708
Oh,-0.546,0.2,0.746
no,-0.544,-0.6,0.056
be,-0.122,0.0,0.122
make,-0.297,0.0,0.297
buy,0.19,0.2,0.01
take,-0.433,0.0,0.433
said,-0.354,0.0,0.354
was,-0.382,0.0,0.382
were,-0.609,0.0,0.609
had,-0.664,0.0,0.664
did,-0.511,0.0,0.511
including,-0.928,0.0,0.928
according,-0.158,0.0,0.158
being,-0.349,0.0,0.349
growing,-0.421,0.3,0.721
trying,-0.139,0.0,0.139
been,-0.292,0.0,0.292
expected,-0.004,-0.1,0.096
made,-0.206,0.0,0.206
compared,0.141,0.0,0.141
based,-0.079,0.0,0.079
are,-0.598,0.0,0.598
have,-0.715,0.0,0.715
say,-0.535,0.0,0.535
do,-0.234,0.0,0.234
're,0.071,0.0,0.071
is,-0.364,0.0,0.364
has,-0.787,0.0,0.787
says,-0.306,0.0,0.306
's,-0.174,0.0,0.174
does,-0.443,0.0,0.443
which,-0.399,0.0,0.399
that,-0.288,0.0,0.288
That,-0.288,0.0,0.288
THAT,-0.288,0.0,0.288
who,0.033,0.0,0.033
what,-0.467,0.0,0.467
What,-0.467,0.0,0.467
whom,-0.273,0.0,0.273
Who,0.033,0.0,0.033
whose,-0.393,0.0,0.393
when,-0.367,0.0,0.367
where,-0.5,0.0,0.5
how,0.038,0.0,0.038
When,-0.367,0.0,0.367
why,-0.188,0.0,0.188
``,-0.517,0.0,0.517
`,-0.511,0.0,0.511
