word,embedding,score,diff
bake,-0.133,1.0,1.133
navigation,-0.119,0.1,0.219
poke,0.229,1.0,0.771
descent,-0.18,0.2,0.38
voyage,-0.549,0.8,1.349
heating,0.003,0.6,0.597
thrill,0.268,0.3,0.032
consume,0.117,1.0,0.883
fly,-0.009,1.0,1.009
hug,-0.111,1.0,1.111
knowledge,0.146,-0.9,1.046
shield,0.042,-0.6,0.642
transit,0.1,0.3,0.2
solitude,0.082,-1.0,1.082
heat,0.281,0.5,0.219
fasten,0.121,1.0,0.879
celebration,-0.034,0.2,0.234
hit,-0.281,1.0,1.281
flush,-0.071,0.7,0.771
adventure,0.068,0.8,0.732
peel,-0.059,1.0,1.059
song,-0.037,-0.7,0.663
elegance,0.051,-1.0,1.051
recreation,0.117,-0.2,0.317
roar,0.118,0.7,0.582
trumpet,-0.109,0.4,0.509
container,0.035,-0.9,0.935
aroma,-0.055,-0.5,0.445
childhood,0.032,-1.0,1.032
measurement,-0.169,0.1,0.269
sanitation,0.156,-0.5,0.656
vibration,0.024,0.15,0.126
dry,-0.095,-0.15,0.055
growth,-0.086,-0.5,0.414
safety,0.024,-0.7,0.724
swing,-0.253,0.85,1.103
crave,-0.437,0.7,1.137
ride,0.073,1.0,0.927
sharpness,-0.167,-0.2,0.033
stride,-0.035,0.75,0.785
graze,-0.097,0.7,0.797
excitement,0.396,-0.3,0.696
sit,0.008,0.5,0.492
indulge,-0.408,0.8,1.208
acidity,-0.552,-0.4,0.152
prong,0.021,-0.2,0.221
chop,-0.108,0.95,1.058
munch,-0.426,0.9,1.326
person,-0.155,-1.0,0.845
bicycle,-0.078,-0.2,0.122
car,-0.418,-0.2,0.218
motorcycle,-0.292,-0.15,0.142
airplane,-0.083,-0.1,0.017
bus,-0.129,-0.15,0.021
train,-0.158,-0.1,0.058
truck,-0.221,-0.25,0.029
boat,-0.159,-0.2,0.041
traffic light,0.114,0.1,0.014
fire hydrant,0.169,-0.3,0.469
stop sign,0.141,-1.0,1.141
parking meter,-0.105,-0.5,0.395
bench,0.046,-1.0,1.046
bird,-0.2,0.0,0.2
cat,-0.298,0.0,0.298
dog,-0.214,0.0,0.214
horse,0.031,0.0,0.031
sheep,-0.273,0.0,0.273
cow,-0.268,0.0,0.268
elephant,-0.092,0.0,0.092
bear,-0.236,0.0,0.236
zebra,0.09,0.0,0.09
giraffe,-0.213,0.0,0.213
backpack,0.161,-0.5,0.661
umbrella,0.015,-0.5,0.515
handbag,-0.456,-0.5,0.044
tie,-0.188,-0.5,0.312
suitcase,0.142,-0.5,0.642
frisbee,-0.088,0.6,0.688
skis,-0.182,0.7,0.882
snowboard,-0.111,0.7,0.811
sports ball,0.322,0.6,0.278
kite,0.013,0.6,0.587
baseball bat,-0.054,0.7,0.754
baseball glove,-0.16,0.7,0.86
skateboard,-0.277,0.7,0.977
surfboard,0.038,0.7,0.662
tennis racket,-0.379,0.7,1.079
bottle,0.019,-0.5,0.519
wine glass,0.052,-0.5,0.552
cup,-0.298,0.0,0.298
fork,0.051,0.0,0.051
knife,-0.553,0.0,0.553
spoon,-0.001,0.0,0.001
bowl,0.013,0.0,0.013
banana,-0.071,0.0,0.071
apple,-0.086,0.0,0.086
sandwich,0.11,0.0,0.11
orange,0.255,0.0,0.255
broccoli,-0.481,0.0,0.481
carrot,0.001,0.0,0.001
hot dog,-0.14,0.0,0.14
pizza,-0.054,0.0,0.054
donut,-0.42,0.0,0.42
cake,-0.295,0.0,0.295
chair,-0.298,-0.1,0.198
couch,-0.17,-0.1,0.07
potted plant,-0.033,-0.1,0.067
bed,0.2,-0.1,0.3
dining table,-0.264,-0.1,0.164
toilet,-0.04,-0.1,0.06
tv,0.027,-0.1,0.127
laptop,-0.184,-0.1,0.084
mouse,-0.278,0.4,0.678
remote,-0.117,0.5,0.617
keyboard,-0.273,0.4,0.673
cell phone,-0.244,0.4,0.644
microwave,0.214,0.4,0.186
oven,0.153,0.4,0.247
toaster,-0.173,0.4,0.573
sink,0.003,0.8,0.797
refrigerator,0.167,-0.9,1.067
book,0.026,-0.2,0.226
clock,-0.187,-0.9,0.713
vase,0.068,-0.9,0.968
scissors,-0.111,0.6,0.711
teddy bear,-0.384,-0.9,0.516
hair drier,0.12,0.6,0.48
toothbrush,0.097,0.6,0.503
#,0.381,0.0,0.381
$,-0.196,0.0,0.196
US$,-0.636,-0.1,0.536
C$,0.113,-0.1,0.213
'',-0.177,0.0,0.177
",",0.166,0.0,0.166
Wa,0.401,-0.1,0.501
.,0.344,0.0,0.344
?,0.057,0.0,0.057
!,-0.013,0.1,0.113
--,0.529,0.0,0.529
;,0.426,0.0,0.426
:,0.32,0.0,0.32
...,0.663,0.0,0.663
-,0.291,0.0,0.291
and,0.235,0.0,0.235
or,0.795,0.0,0.795
But,0.317,0.1,0.217
but,0.317,0.1,0.217
million,-0.41,0.0,0.41
billion,-0.844,0.0,0.844
one,0.172,0.0,0.172
two,0.148,0.0,0.148
10,-0.016,0.0,0.016
the,0.182,0.0,0.182
a,0.514,0.0,0.514
The,0.182,0.0,0.182
an,0.123,0.0,0.123
this,0.106,0.0,0.106
there,0.136,0.0,0.136
There,0.136,0.0,0.136
Perestroika,-0.38,-0.7,0.32
besuboru,-0.181,0.0,0.181
de,0.018,0.0,0.018
etc.,0.358,0.0,0.358
of,0.182,0.0,0.182
for,0.228,0.0,0.228
on,0.228,0.0,0.228
new,0.003,0.0,0.003
other,0.076,0.0,0.076
last,0.25,0.0,0.25
many,0.145,0.0,0.145
higher,-0.084,0.0,0.084
lower,-0.066,0.0,0.066
largest,-0.152,0.0,0.152
least,0.252,0.0,0.252
latest,0.243,0.0,0.243
best,-0.09,0.0,0.09
1,0.207,0.0,0.207
2,0.147,0.0,0.147
3,0.062,0.0,0.062
4,0.142,-1.0,1.142
5,-0.065,-1.0,0.935
will,0.169,0.0,0.169
would,0.103,0.0,0.103
could,0.394,0.0,0.394
can,0.377,0.0,0.377
may,0.059,0.0,0.059
%,0.191,-1.0,1.191
company,-0.09,-1.0,0.91
year,-0.656,-1.0,0.344
market,0.157,-1.0,1.157
trading,-0.051,0.8,0.851
Mr.,0.435,-1.0,1.435
U.S.,0.006,-1.0,1.006
New,0.003,-1.0,1.003
Corp.,0.243,-1.0,1.243
York,-0.178,-1.0,0.822
Containers,0.129,-1.0,1.129
Securities,-0.153,-1.0,0.847
Industries,0.067,-1.0,1.067
Materials,0.035,-1.0,1.035
Soviets,-0.064,-1.0,0.936
years,-0.392,-1.0,0.608
shares,-0.498,0.0,0.498
prices,0.018,0.0,0.018
cents,-0.148,-1.0,0.852
funds,0.12,0.0,0.12
all,0.574,-0.2,0.774
such,0.034,-0.2,0.234
half,-0.385,-1.0,0.615
Such,0.034,0.0,0.034
All,0.574,0.0,0.574
',-0.258,0.0,0.258
it,0.027,0.0,0.027
he,0.169,0.0,0.169
they,0.091,0.0,0.091
I,0.3,0.0,0.3
It,0.027,0.0,0.027
its,-0.216,0.0,0.216
their,-0.259,0.0,0.259
his,-0.227,0.0,0.227
her,-0.127,0.0,0.127
our,-0.592,0.0,0.592
n't,0.332,0.5,0.168
also,0.171,0.2,0.029
not,0.209,-0.2,0.409
only,0.49,0.2,0.29
even,0.337,0.2,0.137
more,0.172,0.4,0.228
earlier,0.244,0.5,0.256
less,0.024,-0.4,0.424
better,-0.343,0.4,0.743
longer,-0.225,0.45,0.675
most,0.392,0.3,0.092
Most,0.392,0.3,0.092
up,0.043,0.5,0.457
out,0.335,0.6,0.265
off,-0.021,0.5,0.521
in,0.18,0.0,0.18
down,-0.05,-0.5,0.45
&,0.314,0.0,0.314
to,0.086,0.2,0.114
To,0.086,0.2,0.114
TO,0.086,0.2,0.114
OK,0.228,0.0,0.228
Oh,0.137,0.0,0.137
no,0.128,0.0,0.128
be,0.608,-0.2,0.808
make,0.096,0.9,0.804
buy,0.34,0.9,0.56
take,-0.041,0.9,0.941
said,0.084,0.0,0.084
was,0.233,-0.5,0.733
were,0.25,-0.5,0.75
had,0.209,-0.5,0.709
did,-0.217,0.7,0.917
including,0.204,0.5,0.296
according,-0.169,0.0,0.169
being,0.319,-0.5,0.819
growing,0.331,0.8,0.469
trying,0.376,0.8,0.424
been,0.128,-0.5,0.628
expected,0.458,0.0,0.458
made,-0.079,0.9,0.979
compared,-0.263,0.5,0.763
based,0.102,0.0,0.102
are,0.374,-0.5,0.874
have,0.492,-0.5,0.992
say,0.373,0.7,0.327
do,0.381,0.7,0.319
're,0.033,0.2,0.167
is,0.335,-1.0,1.335
has,0.358,0.1,0.258
says,0.149,0.5,0.351
's,-0.108,-0.3,0.192
does,0.125,0.3,0.175
which,0.27,0.0,0.27
that,0.242,0.0,0.242
That,0.242,0.0,0.242
THAT,0.242,0.0,0.242
who,0.367,0.0,0.367
what,0.044,0.1,0.056
What,0.044,0.1,0.056
whom,0.388,0.0,0.388
Who,0.367,0.0,0.367
whose,0.098,0.0,0.098
when,0.211,0.2,0.011
where,0.243,0.2,0.043
how,0.196,0.3,0.104
When,0.211,0.2,0.011
why,0.02,0.1,0.08
``,0.089,0.0,0.089
`,-0.177,0.0,0.177
