word,embedding,score,diff
gallop,-0.496,0.2,0.696
protection,0.098,-0.3,0.398
gathering,-0.294,-0.5,0.206
pattern,-0.157,0.0,0.157
walk,0.016,-0.2,0.216
productivity,0.1,-0.6,0.7
purr,-0.376,0.3,0.676
sip,-0.054,-0.2,0.146
decoration,0.305,-0.4,0.705
bite,-0.278,-0.1,0.178
accessory,0.078,-0.4,0.478
reflection,-0.015,0.0,0.015
rinse,-0.21,-0.2,0.01
uncork,-0.596,0.2,0.796
skate,-0.087,0.0,0.087
grace,0.138,-0.4,0.538
support,-0.093,-0.6,0.507
scoop,-0.105,0.2,0.305
tick,0.159,0.0,0.159
flight,-0.351,0.5,0.851
type,-0.306,-0.3,0.006
read,0.002,0.1,0.098
bake,-0.1,-0.2,0.1
navigation,0.186,0.3,0.114
poke,0.04,-0.1,0.14
descent,0.089,0.2,0.111
voyage,-0.143,0.3,0.443
heating,0.266,-0.1,0.366
thrill,-0.038,-0.3,0.262
consume,0.06,-0.2,0.26
fly,-0.147,0.5,0.647
hug,0.09,-0.9,0.99
knowledge,0.241,-0.4,0.641
shield,0.087,0.1,0.013
transit,-0.21,0.3,0.51
solitude,0.288,-0.5,0.788
heat,0.016,-0.1,0.116
fasten,-0.74,-0.1,0.64
celebration,0.076,-0.7,0.776
hit,-0.364,-0.4,0.036
flush,-0.137,-0.2,0.063
adventure,-0.093,-0.2,0.107
peel,0.097,-0.1,0.197
song,-0.348,-0.8,0.452
elegance,0.097,-0.6,0.697
recreation,0.449,-0.7,1.149
roar,0.343,0.4,0.057
trumpet,0.764,-0.6,1.364
container,-0.132,0.4,0.532
aroma,0.255,-0.5,0.755
childhood,0.367,-0.9,1.267
measurement,-0.071,0.2,0.271
sanitation,0.427,-0.7,1.127
vibration,0.115,0.2,0.085
dry,0.1,0.5,0.4
growth,-0.059,-0.1,0.041
safety,-0.113,-0.6,0.487
swing,-0.026,-0.1,0.074
crave,0.019,-0.9,0.919
ride,-0.41,-0.8,0.39
sharpness,-0.51,0.1,0.61
stride,-0.046,-0.7,0.654
graze,-0.153,0.0,0.153
excitement,0.199,-0.9,1.099
sit,-0.364,-0.7,0.336
indulge,-0.323,-1.0,0.677
acidity,-0.281,0.2,0.481
prong,-0.356,0.1,0.456
chop,-0.261,-0.9,0.639
munch,-0.438,-0.9,0.462
person,-0.251,-1.0,0.749
bicycle,0.142,-0.3,0.442
car,-0.014,-0.1,0.086
motorcycle,0.256,-0.2,0.456
airplane,0.095,0.1,0.005
bus,-0.37,-0.2,0.17
train,-0.621,-0.2,0.421
truck,0.155,-0.1,0.255
boat,0.054,0.0,0.054
traffic light,0.105,0.4,0.295
fire hydrant,-0.012,0.5,0.512
stop sign,-0.234,1.0,1.234
parking meter,-0.26,1.0,1.26
bench,0.137,0.4,0.263
bird,0.156,1.0,0.844
cat,-0.178,1.0,1.178
dog,0.066,1.0,0.934
horse,0.048,1.0,0.952
sheep,0.237,1.0,0.763
cow,0.088,1.0,0.912
elephant,0.403,1.0,0.597
bear,0.365,1.0,0.635
zebra,-0.026,1.0,1.026
giraffe,-0.225,1.0,1.225
backpack,-0.11,-0.8,0.69
umbrella,0.306,-0.4,0.706
handbag,-0.201,-0.8,0.599
tie,-0.114,-0.8,0.686
suitcase,-0.06,-0.8,0.74
frisbee,-0.237,0.7,0.937
skis,0.025,0.0,0.025
snowboard,0.079,0.0,0.079
sports ball,-0.093,0.7,0.793
kite,0.047,1.0,0.953
baseball bat,0.09,0.0,0.09
baseball glove,-0.007,0.0,0.007
skateboard,-0.015,0.7,0.715
surfboard,-0.157,0.7,0.857
tennis racket,-0.089,0.0,0.089
bottle,0.171,-0.4,0.571
wine glass,0.391,-0.6,0.991
cup,-0.358,0.0,0.358
fork,0.239,0.0,0.239
knife,0.04,0.0,0.04
spoon,0.228,0.0,0.228
bowl,-0.129,0.0,0.129
banana,0.106,1.0,0.894
apple,0.438,1.0,0.562
sandwich,0.052,0.0,0.052
orange,-0.387,1.0,1.387
broccoli,-0.445,1.0,1.445
carrot,0.017,1.0,0.983
hot dog,-0.128,0.0,0.128
pizza,0.057,0.0,0.057
donut,-0.27,0.0,0.27
cake,0.15,0.0,0.15
chair,-0.003,0.0,0.003
couch,0.35,0.0,0.35
potted plant,-0.087,0.5,0.587
bed,0.064,0.0,0.064
dining table,0.215,0.0,0.215
toilet,0.278,0.0,0.278
tv,-0.304,0.0,0.304
laptop,0.139,0.0,0.139
mouse,0.12,0.0,0.12
remote,-0.148,0.0,0.148
keyboard,0.343,0.0,0.343
cell phone,-0.305,0.0,0.305
microwave,0.357,0.0,0.357
oven,0.515,0.0,0.515
toaster,0.017,0.0,0.017
sink,0.161,0.5,0.339
refrigerator,0.304,0.5,0.196
book,-0.183,-0.2,0.017
clock,0.506,0.0,0.506
vase,0.323,0.3,0.023
scissors,0.05,0.3,0.25
teddy bear,0.237,-0.5,0.737
hair drier,-0.124,-0.8,0.676
toothbrush,0.033,-0.8,0.833
#,0.055,0.0,0.055
$,0.001,0.0,0.001
US$,-0.28,0.0,0.28
C$,0.033,0.0,0.033
'',0.178,0.0,0.178
",",-0.125,0.0,0.125
Wa,0.02,-0.7,0.72
.,-0.86,0.0,0.86
?,-0.659,0.0,0.659
!,-0.036,0.0,0.036
--,-0.14,0.0,0.14
;,-0.431,0.0,0.431
:,-0.236,0.0,0.236
...,-0.862,0.0,0.862
-,-0.007,0.0,0.007
and,-0.272,0.0,0.272
or,-0.392,0.0,0.392
But,-0.258,0.0,0.258
but,-0.258,0.0,0.258
million,-0.409,0.0,0.409
billion,-0.234,0.0,0.234
one,-0.315,0.0,0.315
two,-0.412,0.0,0.412
10,-0.032,0.0,0.032
the,-0.345,0.0,0.345
a,-0.084,0.0,0.084
The,-0.345,0.0,0.345
an,-0.108,0.0,0.108
this,-0.154,0.0,0.154
there,-0.042,0.0,0.042
There,-0.042,0.0,0.042
Perestroika,-0.102,-0.1,0.002
besuboru,-0.447,0.0,0.447
de,-0.015,0.0,0.015
etc.,-0.499,0.0,0.499
of,-0.349,0.0,0.349
for,-0.132,0.0,0.132
on,-0.329,0.0,0.329
new,-0.505,0.0,0.505
other,-0.302,0.0,0.302
last,-0.338,0.0,0.338
many,-0.191,0.0,0.191
higher,0.176,0.0,0.176
lower,0.005,0.0,0.005
largest,0.219,0.0,0.219
least,0.11,0.0,0.11
latest,-0.041,0.0,0.041
best,0.023,0.0,0.023
1,-0.139,0.0,0.139
2,-0.549,0.0,0.549
3,-0.088,0.0,0.088
4,0.155,0.0,0.155
5,-0.214,0.0,0.214
will,-0.685,0.0,0.685
would,-0.624,0.0,0.624
could,-0.232,0.0,0.232
can,-0.241,0.0,0.241
may,0.257,0.0,0.257
%,-0.421,0.0,0.421
company,-0.003,-0.8,0.797
year,0.398,-0.2,0.598
market,-0.341,-0.1,0.241
trading,-0.42,-0.2,0.22
Mr.,-0.557,-1.0,0.443
U.S.,-0.999,-0.5,0.499
New,-0.505,-0.4,0.105
Corp.,-0.639,-0.8,0.161
York,-0.26,-0.4,0.14
Containers,0.165,-0.1,0.265
Securities,0.145,-0.8,0.945
Industries,0.459,-0.8,1.259
Materials,0.335,-0.1,0.435
Soviets,0.276,-0.8,1.076
years,0.269,-0.2,0.469
shares,-0.133,-0.7,0.567
prices,-0.048,-0.2,0.152
cents,0.222,0.0,0.222
funds,0.033,-0.6,0.633
all,-0.168,-0.1,0.068
such,0.18,-0.3,0.48
half,-0.537,-0.1,0.437
Such,0.18,0.0,0.18
All,-0.168,0.0,0.168
',0.13,0.0,0.13
it,-0.385,0.0,0.385
he,-0.245,-1.0,0.755
they,-0.084,-1.0,0.916
I,-0.179,-1.0,0.821
It,-0.385,0.0,0.385
its,-0.211,0.0,0.211
their,0.045,-0.5,0.545
his,0.084,-1.0,1.084
her,-0.283,-1.0,0.717
our,0.087,-1.0,1.087
n't,-0.418,0.0,0.418
also,-0.301,0.0,0.301
not,-0.56,0.0,0.56
only,-0.383,0.0,0.383
even,-0.037,0.0,0.037
more,-0.329,0.0,0.329
earlier,-0.027,0.0,0.027
less,0.007,0.0,0.007
better,0.166,0.0,0.166
longer,-0.076,0.0,0.076
most,-0.14,0.0,0.14
Most,-0.14,0.0,0.14
up,-0.082,0.0,0.082
out,-0.272,0.0,0.272
off,-0.427,0.0,0.427
in,-0.586,0.0,0.586
down,-0.009,0.0,0.009
&,-0.09,0.0,0.09
to,-0.471,0.0,0.471
To,-0.471,0.0,0.471
TO,-0.471,0.0,0.471
OK,0.191,0.0,0.191
Oh,0.512,0.0,0.512
no,-0.32,0.0,0.32
be,-0.483,-0.3,0.183
make,-0.12,-0.4,0.28
buy,-0.619,-0.4,0.219
take,-0.578,-0.4,0.178
said,-0.099,-0.5,0.401
was,-0.673,-0.3,0.373
were,-0.456,-0.3,0.156
had,-0.41,-0.4,0.01
did,-0.298,-0.4,0.102
including,0.062,-0.6,0.662
according,0.198,-0.6,0.798
being,-0.384,-0.5,0.116
growing,-0.156,-0.3,0.144
trying,-0.101,-0.5,0.399
been,-0.468,-0.3,0.168
expected,-0.422,-0.5,0.078
made,-0.075,-0.4,0.325
compared,0.089,-0.6,0.689
based,-0.168,-0.6,0.432
are,-0.412,-0.3,0.112
have,-0.216,-0.4,0.184
say,0.006,-0.5,0.506
do,-0.2,-0.4,0.2
're,-0.119,-0.8,0.681
is,-0.746,-0.8,0.054
has,-0.208,-0.8,0.592
says,0.142,-0.5,0.642
's,-0.072,-0.8,0.728
does,-0.033,-0.8,0.767
which,-0.284,0.0,0.284
that,0.057,0.0,0.057
That,0.057,0.0,0.057
THAT,0.057,0.0,0.057
who,-0.306,-0.9,0.594
what,-0.291,-0.1,0.191
What,-0.291,-0.1,0.191
whom,-0.161,-0.9,0.739
Who,-0.306,-0.9,0.594
whose,-0.166,-0.7,0.534
when,-0.118,-0.1,0.018
where,-0.275,-0.1,0.175
how,0.353,-0.1,0.453
When,-0.118,-0.1,0.018
why,-0.171,-0.1,0.071
``,0.354,0.0,0.354
`,0.339,0.0,0.339
