word,embedding,score,diff
hug,-0.139,-0.6,0.461
knowledge,1.0,0.9,0.1
shield,0.093,-0.7,0.793
transit,0.334,-0.3,0.634
solitude,0.401,0.8,0.399
heat,0.642,-0.5,1.142
fasten,0.458,-0.7,1.158
celebration,0.217,0.6,0.383
hit,0.082,-0.8,0.882
flush,0.187,-0.6,0.787
adventure,1.0,0.5,0.5
peel,0.211,-0.8,1.011
song,0.279,0.2,0.079
elegance,0.354,0.7,0.346
recreation,0.248,0.5,0.252
roar,-0.142,-0.6,0.458
trumpet,0.008,-0.3,0.308
container,0.145,-0.9,1.045
aroma,0.264,0.1,0.164
childhood,0.39,0.8,0.41
measurement,0.199,-0.2,0.399
sanitation,0.29,-0.5,0.79
vibration,0.187,-0.3,0.487
dry,0.414,-0.6,1.014
growth,0.851,0.2,0.651
safety,0.749,0.3,0.449
swing,-0.076,-0.2,0.124
crave,0.401,0.4,0.001
ride,0.827,-0.6,1.427
sharpness,0.029,-0.1,0.129
stride,-0.034,-0.3,0.266
graze,0.318,-0.4,0.718
excitement,0.671,0.8,0.129
sit,0.168,-0.6,0.768
indulge,0.391,0.2,0.191
acidity,0.497,-0.2,0.697
prong,0.041,-0.8,0.841
chop,-0.301,-0.7,0.399
munch,0.317,-0.5,0.817
person,-0.02,-0.8,0.78
bicycle,0.538,-0.9,1.438
car,0.484,-0.9,1.384
motorcycle,0.342,-0.9,1.242
airplane,0.378,-0.9,1.278
bus,0.182,-0.9,1.082
train,0.335,-0.9,1.235
truck,-0.062,-0.9,0.838
boat,0.153,-0.9,1.053
traffic light,0.815,-0.8,1.615
fire hydrant,0.558,-0.9,1.458
stop sign,1.0,-1.0,2.0
parking meter,0.96,-1.0,1.96
bench,-0.254,-1.0,0.746
bird,0.992,-1.0,1.992
cat,0.466,-1.0,1.466
dog,0.422,-1.0,1.422
horse,-0.032,-1.0,0.968
sheep,-0.065,-1.0,0.935
cow,-0.448,-1.0,0.552
elephant,0.213,-1.0,1.213
bear,0.2,-1.0,1.2
zebra,0.011,-1.0,1.011
giraffe,0.601,-1.0,1.601
backpack,0.404,-1.0,1.404
umbrella,0.024,-1.0,1.024
handbag,0.433,-1.0,1.433
tie,0.73,-1.0,1.73
suitcase,0.201,-1.0,1.201
frisbee,0.499,-1.0,1.499
skis,-0.006,-1.0,0.994
snowboard,0.488,-1.0,1.488
sports ball,-0.254,-1.0,0.746
kite,-0.128,-1.0,0.872
baseball bat,0.115,-1.0,1.115
baseball glove,0.288,-1.0,1.288
skateboard,0.167,-1.0,1.167
surfboard,0.318,-1.0,1.318
tennis racket,0.37,-1.0,1.37
bottle,0.085,-1.0,1.085
wine glass,0.622,-1.0,1.622
cup,0.221,-1.0,1.221
fork,0.399,-1.0,1.399
knife,0.265,-1.0,1.265
spoon,-0.178,-1.0,0.822
bowl,0.011,-1.0,1.011
banana,-0.136,-1.0,0.864
apple,1.0,-1.0,2.0
sandwich,0.198,-1.0,1.198
orange,0.541,-1.0,1.541
broccoli,0.482,-1.0,1.482
carrot,0.104,-1.0,1.104
hot dog,0.629,-1.0,1.629
pizza,-0.032,-1.0,0.968
donut,0.4,-1.0,1.4
cake,0.037,-1.0,1.037
chair,-0.107,-1.0,0.893
couch,0.215,-1.0,1.215
potted plant,0.809,-1.0,1.809
bed,0.124,-1.0,1.124
dining table,0.873,-1.0,1.873
toilet,-0.106,-1.0,0.894
tv,-0.167,-1.0,0.833
laptop,0.903,-1.0,1.903
mouse,0.921,-1.0,1.921
remote,0.391,-1.0,1.391
keyboard,0.572,-1.0,1.572
cell phone,0.875,-1.0,1.875
microwave,0.133,-1.0,1.133
oven,0.313,-1.0,1.313
toaster,0.21,-1.0,1.21
sink,0.172,-1.0,1.172
refrigerator,0.326,-1.0,1.326
book,0.677,-1.0,1.677
clock,0.797,-1.0,1.797
vase,0.025,-1.0,1.025
scissors,0.033,-1.0,1.033
teddy bear,0.36,-1.0,1.36
hair drier,0.353,-1.0,1.353
toothbrush,0.784,-1.0,1.784
#,0.292,0.0,0.292
$,0.447,0.0,0.447
US$,0.35,0.0,0.35
C$,0.449,0.0,0.449
'',0.05,0.0,0.05
",",-0.026,0.0,0.026
Wa,-0.313,0.0,0.313
.,0.121,0.0,0.121
?,0.59,0.0,0.59
!,0.157,0.0,0.157
--,-0.083,0.0,0.083
;,0.458,0.0,0.458
:,-0.374,0.0,0.374
...,0.317,0.0,0.317
-,-0.001,0.0,0.001
and,-0.075,0.0,0.075
or,0.588,0.0,0.588
But,-0.127,0.0,0.127
but,-0.127,0.0,0.127
million,0.281,0.0,0.281
billion,0.517,0.0,0.517
one,0.379,0.0,0.379
two,0.131,0.0,0.131
10,0.44,-1.0,1.44
the,-0.011,0.0,0.011
a,0.089,0.0,0.089
The,-0.011,0.0,0.011
an,-0.14,0.0,0.14
this,0.382,-0.2,0.582
there,0.458,-0.2,0.658
There,0.458,-0.2,0.658
Perestroika,0.465,0.7,0.235
besuboru,-0.301,-0.5,0.199
de,0.099,0.0,0.099
etc.,0.585,0.0,0.585
of,0.419,0.0,0.419
for,0.194,0.0,0.194
on,0.242,0.0,0.242
new,0.281,0.2,0.081
other,0.446,0.0,0.446
last,0.163,0.1,0.063
many,-0.138,0.1,0.238
higher,-0.009,0.1,0.109
lower,-0.046,0.1,0.146
largest,0.174,0.3,0.126
least,-0.052,0.1,0.152
latest,0.55,0.3,0.25
best,0.199,0.6,0.401
1,0.102,-1.0,1.102
2,0.117,-1.0,1.117
3,-0.152,-1.0,0.848
4,-0.413,-1.0,0.587
5,-0.277,-1.0,0.723
will,1.0,0.8,0.2
would,0.365,0.8,0.435
could,0.42,0.8,0.38
can,0.514,0.8,0.286
may,-0.053,0.7,0.753
%,0.585,-1.0,1.585
company,0.347,-0.2,0.547
year,0.555,-0.8,1.355
market,0.671,-0.2,0.871
trading,0.447,-0.4,0.847
Mr.,0.489,0.0,0.489
U.S.,0.355,-0.5,0.855
New,0.281,0.0,0.281
Corp.,0.605,-0.2,0.805
York,-0.04,0.0,0.04
Containers,0.228,-0.8,1.028
Securities,0.409,-0.6,1.009
Industries,0.482,-0.6,1.082
Materials,0.737,-0.6,1.337
Soviets,0.055,-0.6,0.655
years,0.722,-0.9,1.622
shares,0.283,-0.7,0.983
prices,0.516,-0.9,1.416
cents,-0.076,-1.0,0.924
funds,0.522,-0.7,1.222
all,0.052,1.0,0.948
such,0.157,0.9,0.743
half,-0.037,-0.8,0.763
Such,0.157,0.0,0.157
All,0.052,0.0,0.052
',0.094,0.0,0.094
it,0.282,0.0,0.282
he,0.293,0.0,0.293
they,0.161,0.0,0.161
I,0.421,0.0,0.421
It,0.282,0.0,0.282
its,-0.215,0.0,0.215
their,-0.108,0.0,0.108
his,0.016,0.0,0.016
her,0.166,0.0,0.166
our,-0.023,0.0,0.023
n't,0.143,0.0,0.143
also,0.322,0.2,0.122
not,0.465,0.2,0.265
only,0.006,0.2,0.194
even,-0.049,0.2,0.249
more,-0.011,0.3,0.311
earlier,0.01,-0.1,0.11
less,-0.575,-0.1,0.475
better,-0.135,0.4,0.535
longer,-0.038,-0.1,0.062
most,-0.022,0.5,0.522
Most,-0.022,0.5,0.522
up,0.296,-0.6,0.896
out,0.096,-0.6,0.696
off,-0.152,-0.6,0.448
in,0.152,0.0,0.152
down,0.557,-0.6,1.157
&,-0.05,0.0,0.05
to,0.146,0.0,0.146
To,0.146,0.0,0.146
TO,0.146,0.0,0.146
OK,0.389,0.0,0.389
Oh,0.27,0.0,0.27
no,0.192,0.0,0.192
be,0.168,0.2,0.032
make,0.626,0.2,0.426
buy,1.0,-0.7,1.7
take,0.043,-0.6,0.643
said,0.219,0.1,0.119
was,0.195,0.1,0.095
were,0.166,0.1,0.066
had,0.185,0.1,0.085
did,0.543,0.1,0.443
including,0.173,0.3,0.127
according,0.475,0.3,0.175
being,-0.06,0.4,0.46
growing,0.215,0.4,0.185
trying,0.597,0.4,0.197
been,-0.131,0.4,0.531
expected,0.324,0.5,0.176
made,0.593,0.2,0.393
compared,0.018,0.2,0.182
based,0.199,0.3,0.101
are,0.332,0.1,0.232
have,0.146,0.1,0.046
say,0.003,0.1,0.097
do,0.497,0.1,0.397
're,0.063,0.2,0.137
is,0.424,0.15,0.274
has,0.007,0.15,0.143
says,0.401,-0.5,0.901
's,0.113,0.15,0.037
does,0.536,0.2,0.336
which,-0.03,0.3,0.33
that,0.208,0.25,0.042
That,0.208,0.25,0.042
THAT,0.208,0.25,0.042
who,0.322,0.3,0.022
what,0.017,0.3,0.283
What,0.017,0.3,0.283
whom,-0.199,0.3,0.499
Who,0.322,0.3,0.022
whose,-0.065,0.3,0.365
when,0.286,0.3,0.014
where,0.573,0.35,0.223
how,0.45,0.3,0.15
When,0.286,0.35,0.064
why,0.055,0.35,0.295
``,-0.227,0.1,0.327
`,-0.221,0.1,0.321
