word,embedding,score,diff
zebra,0.111,-1.0,1.111
giraffe,-0.22,-1.0,0.78
backpack,-0.201,-1.0,0.799
umbrella,-0.003,-1.0,0.997
handbag,-0.28,-1.0,0.72
tie,0.2,-1.0,1.2
suitcase,-0.197,-1.0,0.803
frisbee,-0.383,-1.0,0.617
skis,-0.138,-1.0,0.862
snowboard,-0.315,-1.0,0.685
sports ball,-0.199,-1.0,0.801
kite,-0.126,-1.0,0.874
baseball bat,0.087,-1.0,1.087
baseball glove,0.149,-1.0,1.149
skateboard,-0.13,-1.0,0.87
surfboard,-0.265,-1.0,0.735
tennis racket,-0.082,-1.0,0.918
bottle,-0.4,-1.0,0.6
wine glass,-0.253,-1.0,0.747
cup,0.117,-1.0,1.117
fork,0.123,-1.0,1.123
knife,0.203,-1.0,1.203
spoon,-0.049,-1.0,0.951
bowl,0.023,-1.0,1.023
banana,0.078,-1.0,1.078
apple,-0.105,-1.0,0.895
sandwich,-0.012,-1.0,0.988
orange,0.126,-1.0,1.126
broccoli,0.144,-1.0,1.144
carrot,-0.208,-1.0,0.792
hot dog,-0.082,-1.0,0.918
pizza,0.07,-1.0,1.07
donut,-0.058,-1.0,0.942
cake,-0.088,-1.0,0.912
chair,0.157,-1.0,1.157
couch,0.195,-1.0,1.195
potted plant,-0.15,-1.0,0.85
bed,0.098,-1.0,1.098
dining table,0.257,-1.0,1.257
toilet,-0.069,-1.0,0.931
tv,0.006,-1.0,1.006
laptop,0.027,-1.0,1.027
mouse,-0.368,-1.0,0.632
remote,-0.144,-1.0,0.856
keyboard,-0.187,-1.0,0.813
cell phone,-0.106,-1.0,0.894
microwave,-0.21,-1.0,0.79
oven,0.015,-1.0,1.015
toaster,-0.034,-1.0,0.966
sink,0.163,-1.0,1.163
refrigerator,0.09,-1.0,1.09
book,-0.457,-1.0,0.543
clock,0.124,-1.0,1.124
vase,-0.191,-1.0,0.809
scissors,-0.031,-1.0,0.969
teddy bear,-0.103,-1.0,0.897
hair drier,0.003,-1.0,1.003
toothbrush,-0.241,-1.0,0.759
#,0.125,0.0,0.125
$,0.251,0.0,0.251
US$,-0.208,-0.5,0.292
C$,0.058,-0.5,0.558
'',0.442,0.0,0.442
",",0.144,0.0,0.144
Wa,-0.148,0.2,0.348
.,-0.075,0.0,0.075
?,0.133,0.0,0.133
!,-0.177,0.0,0.177
--,0.304,0.0,0.304
;,0.649,0.0,0.649
:,-0.053,0.0,0.053
...,0.235,0.3,0.065
-,0.222,0.0,0.222
and,0.339,0.5,0.161
or,0.695,0.5,0.195
But,0.206,0.5,0.294
but,0.206,0.5,0.294
million,0.027,-0.8,0.827
billion,0.025,-0.8,0.825
one,0.176,0.0,0.176
two,0.335,0.0,0.335
10,-0.028,-0.8,0.772
the,0.018,0.0,0.018
a,0.157,0.0,0.157
The,0.018,0.0,0.018
an,0.107,0.0,0.107
this,0.05,0.0,0.05
there,0.477,0.0,0.477
There,0.477,0.0,0.477
Perestroika,-0.03,0.6,0.63
besuboru,-0.048,-0.6,0.552
de,0.289,0.0,0.289
etc.,-0.013,0.2,0.213
of,0.317,0.0,0.317
for,0.098,0.0,0.098
on,0.072,0.0,0.072
new,0.002,0.3,0.298
other,0.163,0.3,0.137
last,0.349,0.4,0.051
many,0.134,0.2,0.066
higher,-0.025,0.2,0.225
lower,-0.219,0.2,0.419
largest,0.069,0.3,0.231
least,0.283,0.3,0.017
latest,-0.145,0.4,0.545
best,0.308,0.6,0.292
1,0.059,-0.8,0.859
2,0.116,-0.8,0.916
3,0.1,-0.8,0.9
4,0.106,-1.0,1.106
5,0.168,-1.0,1.168
will,0.225,0.2,0.025
would,0.322,0.2,0.122
could,0.201,0.2,0.001
can,-0.007,0.2,0.207
may,0.176,0.2,0.024
%,0.09,-1.0,1.09
company,-0.234,-0.8,0.566
year,0.186,-0.9,1.086
market,0.103,-0.7,0.803
trading,-0.304,-0.7,0.396
Mr.,0.047,-0.3,0.347
U.S.,-0.416,-0.5,0.084
New,0.002,-0.6,0.602
Corp.,-0.075,-0.8,0.725
York,0.197,-0.6,0.797
Containers,-0.348,-0.8,0.452
Securities,-0.172,-0.8,0.628
Industries,-0.079,-0.8,0.721
Materials,-0.048,-0.9,0.852
Soviets,-0.075,-0.5,0.425
years,0.065,-0.9,0.965
shares,-0.1,-0.8,0.7
prices,0.123,-0.8,0.923
cents,-0.035,-1.0,0.965
funds,0.004,-0.6,0.604
all,0.492,0.0,0.492
such,0.03,0.1,0.07
half,0.377,-0.9,1.277
Such,0.03,0.0,0.03
All,0.492,0.0,0.492
',0.286,0.0,0.286
it,0.096,0.0,0.096
he,0.21,0.0,0.21
they,0.404,0.0,0.404
I,0.155,0.0,0.155
It,0.096,0.0,0.096
its,0.162,0.0,0.162
their,0.18,0.0,0.18
his,0.103,0.0,0.103
her,0.065,0.0,0.065
our,-0.048,0.0,0.048
n't,0.231,0.0,0.231
also,0.073,0.0,0.073
not,0.343,0.0,0.343
only,0.248,0.0,0.248
even,0.178,0.0,0.178
more,-0.089,0.1,0.189
earlier,-0.044,0.1,0.144
less,-0.177,0.1,0.277
better,-0.094,0.2,0.294
longer,0.016,0.2,0.184
most,0.245,0.0,0.245
Most,0.245,0.0,0.245
up,0.116,-0.5,0.616
out,0.094,-0.5,0.594
off,0.09,-0.5,0.59
in,-0.028,-0.1,0.072
down,0.437,-0.6,1.037
&,0.346,-0.1,0.446
to,0.254,0.1,0.154
To,0.254,0.1,0.154
TO,0.254,0.1,0.154
OK,-0.163,-0.1,0.063
Oh,0.243,-0.1,0.343
no,0.283,-0.1,0.383
be,-0.213,0.1,0.313
make,0.19,0.15,0.04
buy,0.245,-0.7,0.945
take,0.048,0.0,0.048
said,0.366,-0.1,0.466
was,0.071,0.1,0.029
were,0.195,0.1,0.095
had,0.416,0.15,0.266
did,0.135,0.1,0.035
including,-0.134,0.35,0.484
according,0.243,0.25,0.007
being,-0.041,0.15,0.191
growing,0.147,0.1,0.047
trying,0.027,0.25,0.223
been,0.154,0.2,0.046
expected,-0.191,0.25,0.441
made,0.042,0.15,0.108
compared,-0.092,0.35,0.442
based,0.135,0.35,0.215
are,-0.018,0.1,0.118
have,0.346,0.15,0.196
say,0.301,-0.1,0.401
do,0.185,0.1,0.085
're,0.115,-0.2,0.315
is,-0.221,-0.2,0.021
has,0.093,-0.2,0.293
says,0.123,-0.1,0.223
's,-0.005,-0.2,0.195
does,-0.021,-0.2,0.179
which,0.24,0.0,0.24
that,0.414,0.0,0.414
That,0.414,0.0,0.414
THAT,0.414,0.0,0.414
who,0.334,0.0,0.334
what,0.264,0.0,0.264
What,0.264,0.0,0.264
whom,0.235,0.0,0.235
Who,0.334,0.0,0.334
whose,0.224,0.0,0.224
when,0.071,0.0,0.071
where,-0.076,0.0,0.076
how,0.489,0.0,0.489
When,0.071,0.0,0.071
why,0.414,0.0,0.414
``,-0.19,-0.2,0.01
`,-0.125,-0.2,0.075
