word,embedding,score,diff
refrigerator,-0.182,1.0,1.182
book,-0.401,-1.0,0.599
clock,-0.345,-1.0,0.655
vase,-0.147,-0.2,0.053
scissors,0.189,-1.0,1.189
teddy bear,-0.208,-1.0,0.792
hair drier,0.041,-1.0,1.041
toothbrush,0.109,-1.0,1.109
#,-0.275,-1.0,0.725
$,-0.211,-1.0,0.789
US$,-0.189,-1.0,0.811
C$,-0.247,-1.0,0.753
'',-0.408,-1.0,0.592
",",-0.252,-1.0,0.748
Wa,-0.405,-0.7,0.295
.,-0.082,-1.0,0.918
?,-0.453,-1.0,0.547
!,-0.874,-1.0,0.126
--,-0.104,-1.0,0.896
;,-0.888,-1.0,0.112
:,-0.249,-1.0,0.751
...,-0.066,-1.0,0.934
-,-0.037,-1.0,0.963
and,-0.336,-0.8,0.464
or,-0.423,-0.8,0.377
But,-0.154,-0.8,0.646
but,-0.154,-0.8,0.646
million,-0.189,-1.0,0.811
billion,-0.144,-1.0,0.856
one,-0.106,0.0,0.106
two,-0.207,0.0,0.207
10,-0.398,0.0,0.398
the,-0.087,0.0,0.087
a,-0.299,0.0,0.299
The,-0.087,0.0,0.087
an,-0.304,0.0,0.304
this,-0.228,0.0,0.228
there,-0.236,0.0,0.236
There,-0.236,0.0,0.236
Perestroika,-0.167,-0.5,0.333
besuboru,-0.207,-0.8,0.593
de,-0.232,-0.5,0.268
etc.,-0.069,0.0,0.069
of,-0.482,0.0,0.482
for,-0.183,0.0,0.183
on,-0.272,0.0,0.272
new,-0.166,0.0,0.166
other,-0.153,0.0,0.153
last,-0.152,0.0,0.152
many,-0.248,0.0,0.248
higher,-0.354,0.0,0.354
lower,-0.213,0.0,0.213
largest,-0.122,0.0,0.122
least,-0.169,0.0,0.169
latest,-0.005,0.0,0.005
best,-0.151,0.0,0.151
1,-0.404,0.0,0.404
2,-0.49,0.0,0.49
3,-0.538,0.0,0.538
4,-0.382,-1.0,0.618
5,-0.257,-1.0,0.743
will,-0.294,-1.0,0.706
would,-0.226,-1.0,0.774
could,-0.28,-1.0,0.72
can,-0.188,-1.0,0.812
may,-0.575,-1.0,0.425
%,-0.557,-1.0,0.443
company,-0.147,-1.0,0.853
year,-0.359,-1.0,0.641
market,-0.161,-0.5,0.339
trading,0.041,-1.0,1.041
Mr.,-0.107,-1.0,0.893
U.S.,-0.128,-1.0,0.872
New,-0.166,-1.0,0.834
Corp.,-0.1,-1.0,0.9
York,-0.322,-1.0,0.678
Containers,0.079,0.0,0.079
Securities,-0.071,-1.0,0.929
Industries,-0.193,-1.0,0.807
Materials,-0.156,0.0,0.156
Soviets,-0.038,-1.0,0.962
years,-0.249,-1.0,0.751
shares,0.087,-1.0,1.087
prices,0.192,-0.5,0.692
cents,0.229,-1.0,1.229
funds,-0.009,-1.0,0.991
all,-0.096,-1.0,0.904
such,-0.396,-1.0,0.604
half,-0.306,-1.0,0.694
Such,-0.396,-1.0,0.604
All,-0.096,-1.0,0.904
',-0.3,-1.0,0.7
it,0.039,-1.0,1.039
he,-0.115,-1.0,0.885
they,0.002,-1.0,1.002
I,-0.303,-1.0,0.697
It,0.039,-1.0,1.039
its,-0.141,-1.0,0.859
their,-0.067,-1.0,0.933
his,-0.148,-1.0,0.852
her,-0.072,-1.0,0.928
our,-0.01,-1.0,0.99
n't,-0.312,-1.0,0.688
also,-0.189,-1.0,0.811
not,-0.11,-1.0,0.89
only,-0.076,-1.0,0.924
even,-0.085,-1.0,0.915
more,-0.096,-1.0,0.904
earlier,-0.142,-1.0,0.858
less,0.038,-1.0,1.038
better,-0.094,-1.0,0.906
longer,-0.147,-1.0,0.853
most,-0.218,-1.0,0.782
Most,-0.218,-1.0,0.782
up,-0.268,-1.0,0.732
out,-0.288,-1.0,0.712
off,-0.116,-1.0,0.884
in,-0.492,-1.0,0.508
down,-0.368,-1.0,0.632
&,-0.308,-1.0,0.692
to,-0.573,-1.0,0.427
To,-0.573,-1.0,0.427
TO,-0.573,-1.0,0.427
OK,-0.201,-1.0,0.799
Oh,-0.354,-1.0,0.646
no,-0.222,-1.0,0.778
be,-0.447,-1.0,0.553
make,-0.47,0.5,0.97
buy,0.088,0.1,0.012
take,-0.725,-0.2,0.525
said,-0.272,-1.0,0.728
was,-0.198,-1.0,0.802
were,-0.152,-1.0,0.848
had,-0.314,-1.0,0.686
did,-0.191,-1.0,0.809
including,-0.285,-1.0,0.715
according,-0.142,-1.0,0.858
being,-0.187,-1.0,0.813
growing,0.01,0.0,0.01
trying,-0.022,-0.2,0.178
been,-0.064,-1.0,0.936
expected,-0.133,-1.0,0.867
made,-0.002,0.2,0.202
compared,0.176,-1.0,1.176
based,0.091,-1.0,1.091
are,-0.266,-1.0,0.734
have,-0.527,-1.0,0.473
say,-0.553,-1.0,0.447
do,-0.448,-1.0,0.552
're,-0.213,-1.0,0.787
is,-0.354,-1.0,0.646
has,-0.346,-1.0,0.654
says,-0.381,-1.0,0.619
's,-0.128,-1.0,0.872
does,-0.215,-1.0,0.785
which,-0.357,-1.0,0.643
that,-0.15,-1.0,0.85
That,-0.15,-1.0,0.85
THAT,-0.15,-1.0,0.85
who,-0.261,-1.0,0.739
what,-0.338,-1.0,0.662
What,-0.338,-1.0,0.662
whom,-0.204,-1.0,0.796
Who,-0.261,-1.0,0.739
whose,-0.139,-1.0,0.861
when,-0.206,-1.0,0.794
where,-0.694,-1.0,0.306
how,-0.337,-1.0,0.663
When,-0.206,-1.0,0.794
why,-0.554,-1.0,0.446
``,-0.162,-1.0,0.838
`,-0.158,-1.0,0.842
