word,embedding,score,diff
banana,0.448,0.0,0.448
apple,0.317,0.0,0.317
sandwich,0.459,0.1,0.359
orange,0.156,0.0,0.156
broccoli,0.136,0.0,0.136
carrot,0.3,0.0,0.3
hot dog,0.167,0.1,0.067
pizza,0.508,0.1,0.408
donut,-0.207,0.0,0.207
cake,0.327,0.0,0.327
chair,0.337,-0.1,0.437
couch,0.424,-0.1,0.524
potted plant,-0.057,-0.1,0.043
bed,0.38,-0.1,0.48
dining table,-0.179,0.0,0.179
toilet,0.448,-0.1,0.548
tv,0.369,-0.1,0.469
laptop,0.393,0.1,0.293
mouse,0.425,0.2,0.225
remote,0.154,0.2,0.046
keyboard,0.267,0.2,0.067
cell phone,-0.209,0.2,0.409
microwave,0.226,-0.1,0.326
oven,0.265,-0.1,0.365
toaster,0.199,-0.1,0.299
sink,0.127,-0.5,0.627
refrigerator,0.561,-0.5,1.061
book,-0.044,-0.5,0.456
clock,0.144,-0.5,0.644
vase,0.139,-0.5,0.639
scissors,0.345,0.8,0.455
teddy bear,0.34,-0.5,0.84
hair drier,-0.357,0.2,0.557
toothbrush,0.016,0.5,0.484
#,-0.243,0.0,0.243
$,-0.068,0.0,0.068
US$,-0.245,0.0,0.245
C$,-0.062,0.0,0.062
'',-0.035,0.0,0.035
",",-0.111,0.0,0.111
Wa,0.539,0.0,0.539
.,-0.184,0.0,0.184
?,0.587,0.0,0.587
!,-0.253,0.0,0.253
--,0.127,0.0,0.127
;,0.1,0.0,0.1
:,0.278,0.0,0.278
...,-0.259,0.0,0.259
-,0.262,0.0,0.262
and,-0.061,0.0,0.061
or,-0.353,0.0,0.353
But,0.158,0.0,0.158
but,0.158,0.0,0.158
million,-0.204,0.0,0.204
billion,0.074,0.0,0.074
one,-0.284,0.0,0.284
two,-0.069,0.0,0.069
10,0.006,0.0,0.006
the,-0.207,0.0,0.207
a,-0.015,0.0,0.015
The,-0.207,0.0,0.207
an,-0.311,0.0,0.311
this,-0.151,0.0,0.151
there,-0.615,0.0,0.615
There,-0.615,0.0,0.615
Perestroika,-0.01,0.2,0.21
besuboru,0.167,0.0,0.167
de,0.033,0.0,0.033
etc.,-0.304,0.0,0.304
of,-0.301,0.0,0.301
for,0.109,0.0,0.109
on,-0.397,0.0,0.397
new,-0.273,0.1,0.373
other,0.127,0.0,0.127
last,-0.004,0.0,0.004
many,-0.287,0.0,0.287
higher,-0.286,0.0,0.286
lower,0.056,0.0,0.056
largest,-0.129,0.0,0.129
least,0.052,0.0,0.052
latest,-0.174,0.1,0.274
best,0.307,0.2,0.107
1,-0.02,0.0,0.02
2,0.231,0.0,0.231
3,-0.053,0.0,0.053
4,-0.05,0.0,0.05
5,-0.055,0.0,0.055
will,-0.219,0.8,1.019
would,-0.159,0.7,0.859
could,-0.141,0.7,0.841
can,-0.283,0.8,1.083
may,-0.171,0.7,0.871
%,-0.003,0.0,0.003
company,0.227,0.0,0.227
year,-0.202,0.0,0.202
market,0.059,-0.1,0.159
trading,0.16,0.4,0.24
Mr.,-0.14,0.0,0.14
U.S.,-0.523,0.0,0.523
New,-0.273,0.0,0.273
Corp.,-0.194,0.0,0.194
York,0.257,0.0,0.257
Containers,0.425,0.2,0.225
Securities,0.693,0.3,0.393
Industries,0.569,0.0,0.569
Materials,0.691,0.1,0.591
Soviets,0.548,0.0,0.548
years,-0.114,0.0,0.114
shares,0.639,0.1,0.539
prices,0.212,0.1,0.112
cents,0.147,0.0,0.147
funds,0.622,-0.2,0.822
all,-0.064,0.0,0.064
such,-0.131,0.0,0.131
half,0.242,0.0,0.242
Such,-0.131,0.0,0.131
All,-0.064,0.0,0.064
',-0.144,0.0,0.144
it,-0.218,-0.1,0.118
he,-0.305,-0.1,0.205
they,-0.1,-0.1,0.0
I,0.084,-0.1,0.184
It,-0.218,-0.1,0.118
its,-0.456,-0.1,0.356
their,-0.128,-0.1,0.028
his,-0.167,-0.1,0.067
her,-0.066,-0.1,0.034
our,-0.26,-0.1,0.16
n't,-0.166,-0.2,0.034
also,-0.115,-0.05,0.065
not,0.112,-0.2,0.312
only,0.26,0.05,0.21
even,0.037,0.05,0.013
more,-0.314,0.15,0.464
earlier,0.121,0.2,0.079
less,0.041,-0.15,0.191
better,-0.142,0.25,0.392
longer,-0.007,0.2,0.207
most,-0.08,0.15,0.23
Most,-0.08,0.15,0.23
up,-0.229,0.8,1.029
out,-0.009,0.8,0.809
off,-0.287,-0.8,0.513
in,0.125,0.2,0.075
down,-0.226,-0.8,0.574
&,-0.001,0.0,0.001
to,-0.224,0.0,0.224
To,-0.224,0.0,0.224
TO,-0.224,0.0,0.224
OK,-0.008,0.0,0.008
Oh,-0.338,0.0,0.338
no,-0.021,-0.2,0.179
be,-0.219,-0.8,0.581
make,-0.306,0.7,1.006
buy,-0.131,0.7,0.831
take,-0.372,0.7,1.072
said,-0.028,-0.1,0.072
was,-0.105,-0.8,0.695
were,0.012,-0.8,0.812
had,-0.061,-0.5,0.439
did,0.153,0.7,0.547
including,-0.074,-0.2,0.126
according,-0.107,-0.3,0.193
being,0.025,-0.8,0.825
growing,0.054,0.6,0.546
trying,0.126,0.7,0.574
been,-0.134,-0.8,0.666
expected,-0.145,0.0,0.145
made,-0.046,0.7,0.746
compared,0.02,-0.1,0.12
based,0.137,-0.2,0.337
are,0.004,-0.7,0.704
have,-0.272,-0.5,0.228
say,-0.069,-0.1,0.031
do,-0.034,0.8,0.834
're,0.003,0.0,0.003
is,-0.192,-1.0,0.808
has,-0.225,-0.5,0.275
says,-0.001,0.7,0.701
's,0.003,-1.0,1.003
does,0.254,0.7,0.446
which,-0.194,0.0,0.194
that,-0.024,0.0,0.024
That,-0.024,0.0,0.024
THAT,-0.024,0.0,0.024
who,-0.377,0.0,0.377
what,0.119,0.0,0.119
What,0.119,0.0,0.119
whom,-0.503,-0.2,0.303
Who,-0.377,0.0,0.377
whose,-0.557,0.0,0.557
when,0.156,-0.4,0.556
where,-0.397,-0.2,0.197
how,-0.035,0.1,0.135
When,0.156,-0.4,0.556
why,0.16,0.2,0.04
``,0.131,0.0,0.131
`,0.157,0.0,0.157
