word,embedding,score
OK,-0.137,-1.0
Oh,-0.071,-1.0
no,-0.336,-1.0
be,0.588,1.0
make,0.303,1.0
buy,0.386,1.0
take,-0.26,1.0
said,0.211,1.0
was,-0.108,1.0
were,0.198,1.0
had,0.283,1.0
did,0.339,1.0
including,-0.103,0.6
according,0.392,0.6
being,-0.056,1.0
growing,-0.19,1.0
trying,0.06,1.0
been,0.31,1.0
expected,0.039,1.0
made,0.069,1.0
compared,0.159,0.6
based,0.38,0.6
are,-0.078,1.0
have,0.164,1.0
say,0.247,1.0
do,0.099,1.0
're,0.515,0.8
is,-0.253,0.7
has,-0.03,0.8
says,0.259,0.9
's,0.11,0.7
does,0.037,0.9
which,-0.207,-0.2
that,-0.403,-0.2
That,-0.403,-0.2
THAT,-0.403,-0.2
who,-0.521,-0.2
what,-0.062,-0.1
What,-0.062,-0.1
whom,-0.519,-0.2
Who,-0.521,-0.2
whose,-0.435,-0.3
when,-0.968,-0.1
where,-0.486,-0.1
how,-0.617,0.3
When,-0.968,-0.1
why,-0.238,-0.1
``,0.588,-1.0
`,0.52,-1.0
